ID,CATEGORY,TYPE,VARIETY_1,VARIETY_2,STATE_1,STATE_2,LUTO,UOM,PRICE,PRICE_2
FISH_0001,FISH,ALATAN,,,DEAD,ALIVE,ALATAN SIGANG,KG,₱980.00,
FISH_0002,FISH,ALATAN,,,DEAD,ALIVE,ALATAN GRILLED,KG,₱980.00,
FISH_0003,FISH,ALATAN,,,DEAD,ALIVE,ALATAN SWEET & SOUR,KG,₱980.00,
FISH_0004,FISH,ALATAN,,,DEAD,ALIVE,ALATAN SWEET & SPICY,KG,₱980.00,
FISH_0005,FISH,ALATAN,,,DEAD,ALIVE,ALATAN KINILAW,KG,₱980.00,
FISH_0006,FISH,ALATAN,,,DEAD,ALIVE,ALATAN TINOLA,KG,₱980.00,
FISH_0007,FISH,ALATAN,,,DEAD,ALIVE,ALATAN FRIED,KG,₱980.00,
FISH_0008,FISH,ALUMAN,,,DEAD,ALIVE,ALUMAN SIGANG,KG,"₱1,000.00",
FISH_0009,FISH,ALUMAN,,,DEAD,ALIVE,ALUMAN GRILLED,KG,"₱1,000.00",
FISH_0010,FISH,ALUMAN,,,DEAD,ALIVE,ALUMAN SWEET & SOUR,KG,"₱1,000.00",
FISH_0011,FISH,ALUMAN,,,DEAD,ALIVE,ALUMAN SWEET & SPICY,KG,"₱1,000.00",
FISH_0012,FISH,ALUMAN,,,DEAD,ALIVE,ALUMAN KINILAW,KG,"₱1,000.00",
FISH_0013,FISH,ALUMAN,,,DEAD,ALIVE,ALUMAN TINOLA,KG,"₱1,000.00",
FISH_0014,FISH,ALUMAN,,,DEAD,ALIVE,ALUMAN FRIED,KG,"₱1,000.00",
FISH_0015,FISH,ALUMBALAY,,,DEAD,ALIVE,ALUMBALAY SIGANG,KG,"₱1,000.00",
FISH_0016,FISH,ALUMBALAY,,,DEAD,ALIVE,ALUMBALAY GRILLED,KG,"₱1,000.00",
FISH_0017,FISH,ALUMBALAY,,,DEAD,ALIVE,ALUMBALAY SWEET & SOUR,KG,"₱1,000.00",
